item_id,shop_type,total_occurrences,first_seen,last_seen,recent_timestamps,average_interval_ms,estimated_next_timestamp,average_quantity,last_quantity,rate_per_day,total_quantity
Aloe,seed,16822,1756085108414,1770194458122,[],838793,1770195296915,3.90,3,103.01,109297
Apple,seed,15597,1756085108414,1770194458122,[],904677,1770195362799,1.84,2,95.51,23437
Bamboo,seed,2315,1756093810581,1770190867880,[],6092073,1770196959953,6.49,7,14.19,17388
Banana,seed,9793,1756085108414,1770194458122,[],1440905,1770195899027,1.99,1,59.97,19616
Beet,seed,1060,1769213765540,1770194458122,[],926055,1770195384177,8.08,8,93.39,7859
Blueberry,seed,16518,1756085108414,1770194458122,[],854231,1770195312353,2.56,2,101.15,49548
BurrosTail,seed,13702,1756085710131,1770194458122,[],1029760,1770195487882,2.81,3,83.91,34257
Cabbage,seed,1060,1769213765540,1770194458122,[],926055,1770195384177,2.90,3,93.39,2656
Cacao,seed,196,1764279641337,1770168065363,[],30197046,1770198262409,1.64,2,2.88,287
Cactus,seed,4437,1756085108414,1770185468657,[],3178620,1770188647277,10.65,10,27.19,44206
Camellia,seed,7647,1763244636819,1770195060391,[],909027,1770195969418,1.00,1,95.06,7647
Carrot,seed,15646,1756085108414,1770194458122,[],901844,1770195359966,11.52,9,95.81,234060
Chrysanthemum,seed,1095,1763258436020,1770180066192,[],6326901,1770186393093,1.00,1,13.67,1095
Coconut,seed,4430,1756085108414,1770194458122,[],3185673,1770197643795,2.00,2,27.13,6656
CommonEgg,egg,15623,1756085408613,1770194759884,[],903171,1770195663055,1.18,1,95.67,31287
Corn,seed,7160,1756087808733,1770192665198,[],1970227,1770194635425,3.47,3,43.86,25265
Daffodil,seed,6273,1756086008654,1770194759884,[],2249482,1770197009366,3.11,4,38.41,15727
DecorShed,seed,243,1768424467777,1769299290225,[],3614968,1769302905193,1.00,1,24.00,243
DragonFruit,seed,419,1756123808373,1770172871132,[],33610197,1770206481329,1.53,2,2.58,631
Echeveria,seed,13817,1756085710131,1770194458122,[],1021189,1770195479311,1.12,1,84.61,20775
FavaBean,seed,7332,1764278737924,1770194759884,[],806987,1770195566871,4.19,5,107.08,25497
Gentian,seed,296,1769214965136,1770192368752,[],3313232,1770195681984,1.23,1,26.17,599
Grape,seed,4427,1756089010409,1770192070745,[],3186412,1770195257157,1.00,1,27.12,4427
HayBale,seed,1244,1761260532441,1770184876088,[],7179681,1770192055769,1.43,1,12.04,1852
LargeGravestone,decor,1,1761267733624,1761267733624,[],,,1.00000000000000000000,1,,1
LargeRock,decor,284,1760320928881,1770159668399,[],34765864,1770194434263,1.00,1,2.49,284
LegendaryEgg,egg,1521,1756089909133,1770184876088,[],9273004,1770194149092,1.00,1,9.32,1521
Lemon,seed,464,1756102809190,1770191468775,[],30429070,1770221897845,1.89,2,2.85,702
Lily,seed,15589,1756087210425,1770194458122,[],905006,1770195363128,2.86,3,95.48,31111
Lychee,seed,496,1756092309149,1770093065153,[],28284355,1770121349508,1.54,2,3.06,752
MarbleArch,decor,1107,1760212928204,1770192070745,[],9022732,1770201093477,1.00,1,9.58,1107
MarbleBench,decor,1102,1760202119469,1770181271544,[],9063716,1770190335260,1.00,1,9.54,1102
MarbleBlobling,seed,67,1760220123918,1769875273792,[],146290149,1770021563941,1.00,1,0.60,67
MarbleBridge,decor,443,1760216496813,1770184876088,[],22552894,1770207428982,1.00,1,3.84,443
MarbleFountain,decor,59,1763287242032,1770166875929,[],118614377,1770285490306,1.00,1,0.74,59
MarbleLampPost,decor,250,1760230913769,1770156070514,[],39860067,1770195930581,1.00,1,2.18,250
